x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,fork_num,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
2,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
2,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
2,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
3,1,5,8,8,8,1,66,66,2.856,0,0,10,91,0,
3,1,5,8,8,8,2,66,66,2.856,0,0,10,100,0,
3,1,5,8,8,8,3,66,66,2.856,0,0,10,109,0,
3,1,5,8,8,8,4,66,66,2.856,0,0,10,118,0,
3,1,5,8,8,8,5,66,66,2.856,0,0,10,127,0,
3,1,5,8,8,8,8,66,66,2.856,0,0,10,154,0,
3,1,5,8,8,8,12,66,66,2.856,0,0,10,190,0,
3,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
3,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
3,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
4,1,5,8,8,8,1,66,66,2.856,0,0,10,91,0,
4,1,5,8,8,8,2,66,66,2.856,0,0,10,100,0,
4,1,5,8,8,8,3,66,66,2.856,0,0,10,109,0,
4,1,5,8,8,8,4,66,66,2.856,0,0,10,118,0,
4,1,5,8,8,8,5,66,66,2.856,0,0,10,127,0,
4,1,5,8,8,8,8,66,66,2.856,0,0,10,154,0,
4,1,5,8,8,8,12,66,66,2.856,0,0,10,190,0,
4,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
4,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
4,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
5,1,5,8,8,8,1,66,66,2.856,0,0,10,91,0,
5,1,5,8,8,8,2,66,66,2.856,0,0,10,100,0,
5,1,5,8,8,8,3,66,66,2.856,0,0,10,109,0,
5,1,5,8,8,8,4,66,66,2.856,0,0,10,118,0,
5,1,5,8,8,8,5,66,66,2.856,0,0,10,127,0,
5,1,5,8,8,8,8,66,66,2.856,0,0,10,154,0,
5,1,5,8,8,8,12,66,66,2.856,0,0,10,190,0,
5,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
5,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
5,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
6,1,5,8,8,8,1,66,66,2.856,0,0,10,91,0,
6,1,5,8,8,8,2,66,66,2.856,0,0,10,100,0,
6,1,5,8,8,8,3,66,66,2.856,0,0,10,109,0,
6,1,5,8,8,8,4,66,66,2.856,0,0,10,118,0,
6,1,5,8,8,8,5,66,66,2.856,0,0,10,127,0,
6,1,5,8,8,8,8,66,66,2.856,0,0,10,154,0,
6,1,5,8,8,8,12,66,66,2.856,0,0,10,190,0,
6,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
6,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
6,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
7,1,5,8,8,8,1,66,66,2.856,0,0,10,91,0,
7,1,5,8,8,8,2,66,66,2.856,0,0,10,100,0,
7,1,5,8,8,8,3,66,66,2.856,0,0,10,109,0,
7,1,5,8,8,8,4,66,66,2.856,0,0,10,118,0,
7,1,5,8,8,8,5,66,66,2.856,0,0,10,127,0,
7,1,5,8,8,8,8,66,66,2.856,0,0,10,154,0,
7,1,5,8,8,8,12,66,66,2.856,0,0,10,190,0,
7,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
7,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
7,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
8,1,5,8,8,8,1,66,66,2.856,0,0,10,91,0,
8,1,5,8,8,8,2,66,66,2.856,0,0,10,100,0,
8,1,5,8,8,8,3,66,66,2.856,0,0,10,109,0,
8,1,5,8,8,8,4,66,66,2.856,0,0,10,118,0,
8,1,5,8,8,8,5,66,66,2.856,0,0,10,127,0,
8,1,5,8,8,8,8,66,66,2.856,0,0,10,154,0,
8,1,5,8,8,8,12,66,66,2.856,0,0,10,190,0,
8,1,5,8,8,8,16,66,66,2.856,0,0,10,226,0,
8,1,5,8,8,8,24,66,66,2.856,0,0,10,298,0,
8,1,5,8,8,8,32,66,66,2.856,0,0,10,370,0,
1,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
1,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
1,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
1,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
1,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
1,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
1,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
1,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
1,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
1,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
2,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
2,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
2,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
2,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
2,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
2,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
2,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
2,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
2,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
2,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
3,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
3,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
3,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
3,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
3,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
3,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
3,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
3,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
3,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
3,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
4,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
4,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
4,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
4,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
4,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
4,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
4,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
4,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
4,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
4,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
5,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
5,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
5,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
5,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
5,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
5,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
5,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
5,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
5,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
5,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
6,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
6,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
6,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
6,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
6,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
6,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
6,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
6,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
6,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
6,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
7,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
7,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
7,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
7,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
7,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
7,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
7,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
7,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
7,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
7,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
8,1,6,1,8,8,1,66,66,2.856,0,0,10,91,0,
8,1,6,1,8,8,2,66,66,2.856,0,0,10,100,0,
8,1,6,1,8,8,3,66,66,2.856,0,0,10,109,0,
8,1,6,1,8,8,4,66,66,2.856,0,0,10,118,0,
8,1,6,1,8,8,5,66,66,2.856,0,0,10,127,0,
8,1,6,1,8,8,8,66,66,2.856,0,0,10,154,0,
8,1,6,1,8,8,12,66,66,2.856,0,0,10,190,0,
8,1,6,1,8,8,16,66,66,2.856,0,0,10,226,0,
8,1,6,1,8,8,24,66,66,2.856,0,0,10,298,0,
8,1,6,1,8,8,32,66,66,2.856,0,0,10,370,0,
1,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
1,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
1,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
1,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
1,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
1,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
1,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
1,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
1,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
1,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
2,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
2,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
2,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
2,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
2,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
2,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
2,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
2,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
2,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
2,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
3,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
3,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
3,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
3,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
3,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
3,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
3,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
3,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
3,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
3,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
4,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
4,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
4,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
4,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
4,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
4,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
4,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
4,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
4,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
4,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
5,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
5,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
5,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
5,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
5,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
5,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
5,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
5,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
5,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
5,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
6,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
6,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
6,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
6,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
6,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
6,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
6,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
6,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
6,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
6,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
7,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
7,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
7,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
7,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
7,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
7,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
7,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
7,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
7,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
7,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
8,1,6,2,8,8,1,66,66,2.856,0,0,10,91,0,
8,1,6,2,8,8,2,66,66,2.856,0,0,10,100,0,
8,1,6,2,8,8,3,66,66,2.856,0,0,10,109,0,
8,1,6,2,8,8,4,66,66,2.856,0,0,10,118,0,
8,1,6,2,8,8,5,66,66,2.856,0,0,10,127,0,
8,1,6,2,8,8,8,66,66,2.856,0,0,10,154,0,
8,1,6,2,8,8,12,66,66,2.856,0,0,10,190,0,
8,1,6,2,8,8,16,66,66,2.856,0,0,10,226,0,
8,1,6,2,8,8,24,66,66,2.856,0,0,10,298,0,
8,1,6,2,8,8,32,66,66,2.856,0,0,10,370,0,
1,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
1,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
1,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
1,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
1,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
1,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
1,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
1,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
1,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
1,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
2,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
2,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
2,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
2,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
2,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
2,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
2,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
2,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
2,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
2,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
3,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
3,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
3,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
3,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
3,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
3,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
3,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
3,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
3,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
3,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
4,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
4,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
4,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
4,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
4,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
4,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
4,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
4,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
4,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
4,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
5,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
5,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
5,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
5,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
5,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
5,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
5,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
5,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
5,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
5,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
6,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
6,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
6,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
6,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
6,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
6,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
6,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
6,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
6,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
6,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
7,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
7,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
7,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
7,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
7,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
7,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
7,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
7,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
7,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
7,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
8,1,6,3,8,8,1,66,66,2.856,0,0,10,91,0,
8,1,6,3,8,8,2,66,66,2.856,0,0,10,100,0,
8,1,6,3,8,8,3,66,66,2.856,0,0,10,109,0,
8,1,6,3,8,8,4,66,66,2.856,0,0,10,118,0,
8,1,6,3,8,8,5,66,66,2.856,0,0,10,127,0,
8,1,6,3,8,8,8,66,66,2.856,0,0,10,154,0,
8,1,6,3,8,8,12,66,66,2.856,0,0,10,190,0,
8,1,6,3,8,8,16,66,66,2.856,0,0,10,226,0,
8,1,6,3,8,8,24,66,66,2.856,0,0,10,298,0,
8,1,6,3,8,8,32,66,66,2.856,0,0,10,370,0,
1,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
1,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
1,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
1,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
1,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
1,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
1,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
1,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
1,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
1,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
2,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
2,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
2,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
2,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
2,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
2,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
2,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
2,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
2,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
2,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
3,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
3,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
3,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
3,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
3,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
3,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
3,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
3,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
3,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
3,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
4,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
4,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
4,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
4,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
4,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
4,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
4,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
4,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
4,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
4,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
5,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
5,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
5,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
5,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
5,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
5,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
5,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
5,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
5,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
5,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
6,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
6,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
6,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
6,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
6,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
6,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
6,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
6,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
6,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
6,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
7,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
7,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
7,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
7,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
7,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
7,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
7,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
7,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
7,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
7,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
8,1,6,4,8,8,1,66,66,2.856,0,0,10,91,0,
8,1,6,4,8,8,2,66,66,2.856,0,0,10,100,0,
8,1,6,4,8,8,3,66,66,2.856,0,0,10,109,0,
8,1,6,4,8,8,4,66,66,2.856,0,0,10,118,0,
8,1,6,4,8,8,5,66,66,2.856,0,0,10,127,0,
8,1,6,4,8,8,8,66,66,2.856,0,0,10,154,0,
8,1,6,4,8,8,12,66,66,2.856,0,0,10,190,0,
8,1,6,4,8,8,16,66,66,2.856,0,0,10,226,0,
8,1,6,4,8,8,24,66,66,2.856,0,0,10,298,0,
8,1,6,4,8,8,32,66,66,2.856,0,0,10,370,0,
1,1,6,5,8,8,1,66,66,2.856,0,0,10,91,0,
1,1,6,5,8,8,2,66,66,2.856,0,0,10,100,0,
1,1,6,5,8,8,3,66,66,2.856,0,0,10,109,0,
1,1,6,5,8,8,4,66,66,2.856,0,0,10,118,0,
1,1,6,5,8,8,5,66,66,2.856,0,0,10,127,0,
1,1,6,5,8,8,8,66,66,2.856,0,0,10,154,0,
1,1,6,5,8,8,12,66,66,2.856,0,0,10,190,0,
1,1,6,5,8,8,16,66,66,2.856,0,0,10,226,0,
1,1,6,5,8,8,24,66,66,2.856,0,0,10,298,0,
1,1,6,5,8,8,32,66,66,2.856,0,0,10,370,0,
2,1,6,5,8,8,1,66,66,2.856,0,0,10,91,0,
2,1,6,5,8,8,2,66,66,2.856,0,0,10,100,0,
2,1,6,5,8,8,3,66,66,2.856,0,0,10,109,0,
2,1,6,5,8,8,4,66,66,2.856,0,0,10,118,0,
2,1,6,5,8,8,5,66,66,2.856,0,0,10,127,0,
2,1,6,5,8,8,8,66,66,2.856,0,0,10,154,0,
2,1,6,5,8,8,12,66,66,2.856,0,0,10,190,0,
2,1,6,5,8,8,16,66,66,2.856,0,0,10,226,0,
2,1,6,5,8,8,24,66,66,2.856,0,0,10,298,0,
2,1,6,5,8,8,32,66,66,2.856,0,0,10,370,0,
3,1,6,5,8,8,1,66,66,2.856,0,0,10,91,0,
3,1,6,5,8,8,2,66,66,2.856,0,0,10,100,0,
3,1,6,5,8,8,3,66,66,2.856,0,0,10,109,0,
3,1,6,5,8,8,4,66,66,2.856,0,0,10,118,0,
3,1,6,5,8,8,5,66,66,2.856,0,0,10,127,0,
3,1,6,5,8,8,8,66,66,2.856,0,0,10,154,0,
3,1,6,5,8,8,12,66,66,2.856,0,0,10,190,0,
3,1,6,5,8,8,16,66,66,2.856,0,0,10,226,0,
3,1,6,5,8,8,24,66,66,2.856,0,0,10,298,0,
3,1,6,5,8,8,32,66,66,2.856,0,0,10,370,0,
4,1,6,5,8,8,1,66,66,2.856,0,0,10,91,0,
4,1,6,5,8,8,2,66,66,2.856,0,0,10,100,0,
4,1,6,5,8,8,3,66,66,2.856,0,0,10,109,0,
4,1,6,5,8,8,4,66,66,2.856,0,0,10,118,0,
4,1,6,5,8,8,5,66,66,2.856,0,0,10,127,0,
4,1,6,5,8,8,8,66,66,2.856,0,0,10,154,0,
4,1,6,5,8,8,12,66,66,2.856,0,0,10,190,0,
4,1,6,5,8,8,16,66,66,2.856,0,0,10,226,0,
4,1,6,5,8,8,24,66,66,2.856,0,0,10,298,0,
